--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 00:11:41 2023
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.19921875}
{'pid': 68, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'dllhost.exe', 'vms': 3.71875}
{'pid': 100, 'username': None, 'name': 'Registry', 'vms': 6.88671875}
{'pid': 124, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SearchProtocolHost.exe', 'vms': 1.74609375}
{'pid': 460, 'username': None, 'name': 'smss.exe', 'vms': 1.04296875}
{'pid': 520, 'username': None, 'name': 'svchost.exe', 'vms': 13.63671875}
{'pid': 552, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 5.50390625}
{'pid': 588, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 27.89453125}
{'pid': 676, 'username': None, 'name': 'csrss.exe', 'vms': 2.36328125}
{'pid': 700, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.78515625}
{'pid': 788, 'username': None, 'name': 'wininit.exe', 'vms': 1.4453125}
{'pid': 796, 'username': None, 'name': 'csrss.exe', 'vms': 2.57421875}
{'pid': 828, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'crashpad_handler.exe', 'vms': 1.4375}
{'pid': 856, 'username': None, 'name': 'WUDFHost.exe', 'vms': 3.8203125}
{'pid': 860, 'username': None, 'name': 'services.exe', 'vms': 5.69921875}
{'pid': 872, 'username': None, 'name': 'lsass.exe', 'vms': 8.0625}
{'pid': 948, 'username': None, 'name': 'winlogon.exe', 'vms': 2.5703125}
{'pid': 1092, 'username': None, 'name': 'svchost.exe', 'vms': 9.1953125}
{'pid': 1160, 'username': None, 'name': 'svchost.exe', 'vms': 2.41015625}
{'pid': 1200, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 177.859375}
{'pid': 1236, 'username': None, 'name': 'dwm.exe', 'vms': 61.8359375}
{'pid': 1260, 'username': None, 'name': 'svchost.exe', 'vms': 1.69140625}
{'pid': 1280, 'username': None, 'name': 'svchost.exe', 'vms': 4.6015625}
{'pid': 1340, 'username': None, 'name': 'svchost.exe', 'vms': 1.9375}
{'pid': 1360, 'username': None, 'name': 'svchost.exe', 'vms': 1.59765625}
{'pid': 1372, 'username': None, 'name': 'NisSrv.exe', 'vms': 3.890625}
{'pid': 1384, 'username': None, 'name': 'svchost.exe', 'vms': 2.94140625}
{'pid': 1388, 'username': None, 'name': 'svchost.exe', 'vms': 1.68359375}
{'pid': 1404, 'username': None, 'name': 'svchost.exe', 'vms': 1.8125}
{'pid': 1436, 'username': None, 'name': 'svchost.exe', 'vms': 2.46484375}
{'pid': 1476, 'username': None, 'name': 'svchost.exe', 'vms': 5.9453125}
{'pid': 1540, 'username': None, 'name': 'IntelCpHeciSvc.exe', 'vms': 1.35546875}
{'pid': 1572, 'username': None, 'name': 'svchost.exe', 'vms': 1.97265625}
{'pid': 1640, 'username': None, 'name': 'svchost.exe', 'vms': 2.62109375}
{'pid': 1668, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'explorer.exe', 'vms': 111.80859375}
{'pid': 1672, 'username': None, 'name': 'svchost.exe', 'vms': 1.8671875}
{'pid': 1680, 'username': None, 'name': 'svchost.exe', 'vms': 2.0625}
{'pid': 1764, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.390625}
{'pid': 1776, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'ctfmon.exe', 'vms': 4.63671875}
{'pid': 1820, 'username': None, 'name': 'svchost.exe', 'vms': 3.41015625}
{'pid': 1852, 'username': None, 'name': 'svchost.exe', 'vms': 15.56640625}
{'pid': 1972, 'username': None, 'name': 'svchost.exe', 'vms': 1.859375}
{'pid': 2016, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 1.7578125}
{'pid': 2096, 'username': None, 'name': 'svchost.exe', 'vms': 5.07421875}
{'pid': 2148, 'username': None, 'name': 'svchost.exe', 'vms': 5.5859375}
{'pid': 2168, 'username': None, 'name': 'svchost.exe', 'vms': 2.19140625}
{'pid': 2176, 'username': None, 'name': 'svchost.exe', 'vms': 1.8828125}
{'pid': 2300, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'RuntimeBroker.exe', 'vms': 10.03515625}
{'pid': 2308, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 163.82421875}
{'pid': 2328, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'cmd.exe', 'vms': 2.61328125}
{'pid': 2336, 'username': None, 'name': 'svchost.exe', 'vms': 2.70703125}
{'pid': 2376, 'username': None, 'name': 'svchost.exe', 'vms': 3.74609375}
{'pid': 2396, 'username': None, 'name': 'atiesrxx.exe', 'vms': 1.4375}
{'pid': 2428, 'username': None, 'name': 'svchost.exe', 'vms': 4.92578125}
{'pid': 2436, 'username': None, 'name': 'svchost.exe', 'vms': 1.48046875}
{'pid': 2440, 'username': None, 'name': 'svchost.exe', 'vms': 23.0859375}
{'pid': 2496, 'username': None, 'name': 'svchost.exe', 'vms': 6.46875}
{'pid': 2512, 'username': None, 'name': 'svchost.exe', 'vms': 1.72265625}
{'pid': 2544, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 23.65625}
