--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 00:30:34 2023
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.19921875}
{'name': 'dllhost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 68, 'vms': 3.76953125}
{'name': 'Registry', 'username': None, 'pid': 100, 'vms': 6.27734375}
{'name': 'smss.exe', 'username': None, 'pid': 460, 'vms': 1.04296875}
{'name': 'svchost.exe', 'username': None, 'pid': 520, 'vms': 13.921875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 552, 'vms': 4.70703125}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 588, 'vms': 27.89453125}
{'name': 'csrss.exe', 'username': None, 'pid': 676, 'vms': 2.3671875}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 700, 'vms': 1.78515625}
{'name': 'wininit.exe', 'username': None, 'pid': 788, 'vms': 1.4453125}
{'name': 'csrss.exe', 'username': None, 'pid': 796, 'vms': 2.58203125}
{'name': 'crashpad_handler.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 828, 'vms': 1.4375}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 856, 'vms': 3.79296875}
{'name': 'services.exe', 'username': None, 'pid': 860, 'vms': 5.71875}
{'name': 'lsass.exe', 'username': None, 'pid': 872, 'vms': 8.0703125}
{'name': 'winlogon.exe', 'username': None, 'pid': 948, 'vms': 2.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1092, 'vms': 9.10546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1160, 'vms': 2.4140625}
{'name': 'Code.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 1200, 'vms': 204.6484375}
{'name': 'dwm.exe', 'username': None, 'pid': 1236, 'vms': 56.93359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1260, 'vms': 1.69140625}
{'name': 'svchost.exe', 'username': None, 'pid': 1280, 'vms': 4.703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1340, 'vms': 1.9375}
{'name': 'NisSrv.exe', 'username': None, 'pid': 1372, 'vms': 3.890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1384, 'vms': 2.91015625}
{'name': 'svchost.exe', 'username': None, 'pid': 1388, 'vms': 1.68359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1404, 'vms': 1.8125}
{'name': 'svchost.exe', 'username': None, 'pid': 1436, 'vms': 2.46484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1476, 'vms': 5.98046875}
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 1540, 'vms': 1.35546875}
{'name': 'svchost.exe', 'username': None, 'pid': 1572, 'vms': 2.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 1640, 'vms': 2.62109375}
{'name': 'explorer.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 1668, 'vms': 109.48046875}
{'name': 'svchost.exe', 'username': None, 'pid': 1672, 'vms': 1.8671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1680, 'vms': 2.0625}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 1764, 'vms': 1.390625}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 1776, 'vms': 4.63671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1820, 'vms': 3.41015625}
{'name': 'svchost.exe', 'username': None, 'pid': 1852, 'vms': 15.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1972, 'vms': 1.859375}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2016, 'vms': 1.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 2096, 'vms': 5.0234375}
{'name': 'svchost.exe', 'username': None, 'pid': 2148, 'vms': 5.546875}
{'name': 'svchost.exe', 'username': None, 'pid': 2168, 'vms': 2.17578125}
{'name': 'svchost.exe', 'username': None, 'pid': 2176, 'vms': 1.8828125}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 2300, 'vms': 10.10546875}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 2308, 'vms': 131.09375}
{'name': 'cmd.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 2328, 'vms': 2.61328125}
{'name': 'svchost.exe', 'username': None, 'pid': 2336, 'vms': 2.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2376, 'vms': 3.859375}
{'name': 'atiesrxx.exe', 'username': None, 'pid': 2396, 'vms': 1.4375}
{'name': 'svchost.exe', 'username': None, 'pid': 2428, 'vms': 4.875}
{'name': 'svchost.exe', 'username': None, 'pid': 2436, 'vms': 1.48046875}
{'name': 'svchost.exe', 'username': None, 'pid': 2440, 'vms': 23.01171875}
{'name': 'svchost.exe', 'username': None, 'pid': 2496, 'vms': 6.7109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2512, 'vms': 1.72265625}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 2544, 'vms': 23.65625}
{'name': 'svchost.exe', 'username': None, 'pid': 2604, 'vms': 3.58203125}
{'name': 'svchost.exe', 'username': None, 'pid': 2664, 'vms': 2.99609375}
{'name': 'svchost.exe', 'username': None, 'pid': 2668, 'vms': 1.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 2724, 'vms': 3.65625}
{'name': 'svchost.exe', 'username': None, 'pid': 2784, 'vms': 1.9453125}
{'name': 'svchost.exe', 'username': None, 'pid': 2792, 'vms': 2.2265625}
{'name': 'svchost.exe', 'username': None, 'pid': 2832, 'vms': 2.01171875}
{'name': 'SgrmBroker.exe', 'username': None, 'pid': 2864, 'vms': 4.9375}
{'name': 'MemCompression', 'username': None, 'pid': 2896, 'vms': 1.17578125}
{'name': 'dasHost.exe', 'username': None, 'pid': 2944, 'vms': 4.09375}
{'name': 'dptf_helper.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 2972, 'vms': 1.3125}
{'name': 'Video.UI.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 3104, 'vms': 20.30078125}
{'name': 'svchost.exe', 'username': None, 'pid': 3116, 'vms': 4.5078125}
{'name': 'svchost.exe', 'username': None, 'pid': 3132, 'vms': 2.15234375}
{'name': 'SynTPEnh.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 3148, 'vms': 6.85546875}
{'name': 'RtkAudioService64.exe', 'username': None, 'pid': 3156, 'vms': 1.8515625}
{'name': 'svchost.exe', 'username': None, 'pid': 3184, 'vms': 8.11328125}
{'name': 'svchost.exe', 'username': None, 'pid': 3208, 'vms': 1.97265625}
{'name': 'svchost.exe', 'username': None, 'pid': 3300, 'vms': 1.8515625}
{'name': 'svchost.exe', 'username': None, 'pid': 3304, 'vms': 3.265625}
{'name': 'svchost.exe', 'username': None, 'pid': 3376, 'vms': 30.42578125}
{'name': 'svchost.exe', 'username': None, 'pid': 3460, 'vms': 2.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 3468, 'vms': 2.77734375}
{'name': 'RAVBg64.exe', 'username': None, 'pid': 3540, 'vms': 5.859375}
{'name': 'chrome.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 3620, 'vms': 11.75}
{'name': 'svchost.exe', 'username': None, 'pid': 3672, 'vms': 2.3515625}
{'name': 'svchost.exe', 'username': None, 'pid': 3744, 'vms': 6.28515625}
{'name': 'dasHost.exe', 'username': None, 'pid': 3808, 'vms': 0.93359375}
{'name': 'PhoneExperienceHost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 3828, 'vms': 69.671875}
{'name': 'svchost.exe', 'username': None, 'pid': 3840, 'vms': 2.640625}
{'name': 'spoolsv.exe', 'username': None, 'pid': 3888, 'vms': 12.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 3924, 'vms': 11.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 3952, 'vms': 2.02734375}
{'name': 'sihost.exe', 'username': 'DESKTOP-1SJROOB\\admin', 'pid': 3968, 'vms': 12.80859375}
{'name': 'svchost.exe', 'username': None, 'pid': 4036, 'vms': 9.23046875}
{'name': 'svchost.exe', 'username': None, 'pid': 4108, 'vms': 1.50390625}
{'name': 'svchost.exe', 'username': None, 'pid': 4160, 'vms': 1.2734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4208, 'vms': 1.36328125}
{'name': 'QcomWlanSrvx64.exe', 'username': None, 'pid': 4220, 'vms': 1.28515625}
{'name': 'svchost.exe', 'username': None, 'pid': 4228, 'vms': 4.73046875}
{'name': 'esif_uf.exe', 'username': None, 'pid': 4236, 'vms': 1.7578125}
{'name': 'svchost.exe', 'username': None, 'pid': 4244, 'vms': 3.81640625}
{'name': 'AdminService.exe', 'username': None, 'pid': 4252, 'vms': 2.21875}
