--------------------------------------------------------------------------------
My File Process Logger : Mon Oct  2 10:45:16 2023
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.19921875}
{'name': 'Registry', 'pid': 100, 'username': None, 'vms': 6.57421875}
{'name': 'smss.exe', 'pid': 460, 'username': None, 'vms': 1.04296875}
{'name': 'svchost.exe', 'pid': 520, 'username': None, 'vms': 13.8203125}
{'name': 'csrss.exe', 'pid': 676, 'username': None, 'vms': 2.41796875}
{'name': 'fontdrvhost.exe', 'pid': 700, 'username': None, 'vms': 1.78515625}
{'name': 'smartscreen.exe', 'pid': 780, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 7.73828125}
{'name': 'wininit.exe', 'pid': 788, 'username': None, 'vms': 1.58203125}
{'name': 'WUDFHost.exe', 'pid': 856, 'username': None, 'vms': 3.79296875}
{'name': 'services.exe', 'pid': 860, 'username': None, 'vms': 5.69921875}
{'name': 'lsass.exe', 'pid': 872, 'username': None, 'vms': 8.2578125}
{'name': 'LockApp.exe', 'pid': 940, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 15.91015625}
{'name': 'svchost.exe', 'pid': 1092, 'username': None, 'vms': 9.6171875}
{'name': 'chrome.exe', 'pid': 1116, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 62.703125}
{'name': 'WavesSvc64.exe', 'pid': 1152, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 15.3671875}
{'name': 'svchost.exe', 'pid': 1160, 'username': None, 'vms': 2.50390625}
{'name': 'SecurityHealthSystray.exe', 'pid': 1172, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 1.64453125}
{'name': 'svchost.exe', 'pid': 1260, 'username': None, 'vms': 1.69921875}
{'name': 'svchost.exe', 'pid': 1264, 'username': None, 'vms': 8.48828125}
{'name': 'svchost.exe', 'pid': 1280, 'username': None, 'vms': 4.6484375}
{'name': 'svchost.exe', 'pid': 1340, 'username': None, 'vms': 1.96875}
