--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375}
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.203125}
{'name': 'chrome.exe', 'pid': 32, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 28.875}
{'name': 'Registry', 'pid': 100, 'username': None, 'vms': 6.82421875}
{'name': 'smss.exe', 'pid': 460, 'username': None, 'vms': 1.04296875}
{'name': 'ShellExperienceHost.exe', 'pid': 468, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 21.921875}
{'name': 'svchost.exe', 'pid': 520, 'username': None, 'vms': 15.94921875}
{'name': 'csrss.exe', 'pid': 676, 'username': None, 'vms': 2.43359375}
{'name': 'fontdrvhost.exe', 'pid': 700, 'username': None, 'vms': 1.78515625}
{'name': 'wininit.exe', 'pid': 788, 'username': None, 'vms': 1.6171875}
{'name': 'WUDFHost.exe', 'pid': 856, 'username': None, 'vms': 3.9453125}
{'name': 'services.exe', 'pid': 860, 'username': None, 'vms': 6.421875}
{'name': 'lsass.exe', 'pid': 872, 'username': None, 'vms': 9.19140625}
{'name': 'TextInputHost.exe', 'pid': 948, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 15.078125}
{'name': 'sihost.exe', 'pid': 980, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 5.90234375}
{'name': 'SDXHelper.exe', 'pid': 1020, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 9.5}
{'name': 'svchost.exe', 'pid': 1092, 'username': None, 'vms': 12.29296875}
{'name': 'svchost.exe', 'pid': 1160, 'username': None, 'vms': 2.59765625}
{'name': 'Code.exe', 'pid': 1244, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 153.03125}
{'name': 'svchost.exe', 'pid': 1260, 'username': None, 'vms': 1.71484375}
{'name': 'svchost.exe', 'pid': 1280, 'username': None, 'vms': 6.5546875}
{'name': 'svchost.exe', 'pid': 1340, 'username': None, 'vms': 2.12890625}
{'name': 'svchost.exe', 'pid': 1384, 'username': None, 'vms': 3.2421875}
{'name': 'svchost.exe', 'pid': 1388, 'username': None, 'vms': 1.98046875}
{'name': 'svchost.exe', 'pid': 1404, 'username': None, 'vms': 1.91796875}
{'name': 'svchost.exe', 'pid': 1436, 'username': None, 'vms': 2.58984375}
{'name': 'svchost.exe', 'pid': 1476, 'username': None, 'vms': 6.23828125}
{'name': 'IntelCpHeciSvc.exe', 'pid': 1540, 'username': None, 'vms': 1.4453125}
{'name': 'svchost.exe', 'pid': 1572, 'username': None, 'vms': 2.1015625}
{'name': 'svchost.exe', 'pid': 1640, 'username': None, 'vms': 2.671875}
{'name': 'svchost.exe', 'pid': 1648, 'username': None, 'vms': 1.78515625}
{'name': 'svchost.exe', 'pid': 1672, 'username': None, 'vms': 1.9921875}
{'name': 'svchost.exe', 'pid': 1680, 'username': None, 'vms': 2.20703125}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 1764, 'username': None, 'vms': 1.39453125}
{'name': 'svchost.exe', 'pid': 1820, 'username': None, 'vms': 4.38671875}
{'name': 'svchost.exe', 'pid': 1852, 'username': None, 'vms': 16.09375}
{'name': 'audiodg.exe', 'pid': 1924, 'username': None, 'vms': 30.6640625}
{'name': 'svchost.exe', 'pid': 1972, 'username': None, 'vms': 2.30078125}
{'name': 'igfxCUIService.exe', 'pid': 2016, 'username': None, 'vms': 1.77734375}
{'name': 'msedge.exe', 'pid': 2052, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 11.921875}
{'name': 'svchost.exe', 'pid': 2096, 'username': None, 'vms': 5.18359375}
{'name': 'svchost.exe', 'pid': 2148, 'username': None, 'vms': 7.51171875}
{'name': 'svchost.exe', 'pid': 2168, 'username': None, 'vms': 2.5078125}
{'name': 'svchost.exe', 'pid': 2176, 'username': None, 'vms': 1.8828125}
{'name': 'chrome.exe', 'pid': 2288, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 25.015625}
{'name': 'ApplicationFrameHost.exe', 'pid': 2304, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 11.68359375}
{'name': 'svchost.exe', 'pid': 2336, 'username': None, 'vms': 3.26171875}
{'name': 'svchost.exe', 'pid': 2376, 'username': None, 'vms': 4.05859375}
{'name': 'atiesrxx.exe', 'pid': 2396, 'username': None, 'vms': 1.4375}
{'name': 'svchost.exe', 'pid': 2428, 'username': None, 'vms': 5.3046875}
{'name': 'svchost.exe', 'pid': 2436, 'username': None, 'vms': 1.796875}
{'name': 'svchost.exe', 'pid': 2440, 'username': None, 'vms': 26.78515625}
{'name': 'svchost.exe', 'pid': 2496, 'username': None, 'vms': 6.8515625}
{'name': 'svchost.exe', 'pid': 2512, 'username': None, 'vms': 1.80859375}
{'name': 'PresentationFontCache.exe', 'pid': 2544, 'username': None, 'vms': 23.65625}
{'name': 'svchost.exe', 'pid': 2604, 'username': None, 'vms': 3.71875}
{'name': 'svchost.exe', 'pid': 2664, 'username': None, 'vms': 3.04296875}
{'name': 'svchost.exe', 'pid': 2668, 'username': None, 'vms': 1.296875}
{'name': 'svchost.exe', 'pid': 2724, 'username': None, 'vms': 3.66015625}
{'name': 'svchost.exe', 'pid': 2784, 'username': None, 'vms': 1.953125}
{'name': 'svchost.exe', 'pid': 2792, 'username': None, 'vms': 2.2890625}
{'name': 'svchost.exe', 'pid': 2832, 'username': None, 'vms': 2.09765625}
{'name': 'SgrmBroker.exe', 'pid': 2864, 'username': None, 'vms': 4.51953125}
{'name': 'MemCompression', 'pid': 2896, 'username': None, 'vms': 0.67578125}
{'name': 'dasHost.exe', 'pid': 2944, 'username': None, 'vms': 4.62109375}
{'name': 'smartscreen.exe', 'pid': 3088, 'username': 'DESKTOP-1SJROOB\\admin', 'vms': 7.640625}
