--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05859375}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.203125}
{'pid': 32, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'chrome.exe', 'vms': 29.30078125}
{'pid': 100, 'username': None, 'name': 'Registry', 'vms': 6.83984375}
{'pid': 460, 'username': None, 'name': 'smss.exe', 'vms': 1.04296875}
{'pid': 468, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'ShellExperienceHost.exe', 'vms': 21.9921875}
{'pid': 520, 'username': None, 'name': 'svchost.exe', 'vms': 16.63671875}
{'pid': 676, 'username': None, 'name': 'csrss.exe', 'vms': 2.43359375}
{'pid': 700, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.78515625}
{'pid': 788, 'username': None, 'name': 'wininit.exe', 'vms': 1.6171875}
{'pid': 856, 'username': None, 'name': 'WUDFHost.exe', 'vms': 3.97265625}
{'pid': 860, 'username': None, 'name': 'services.exe', 'vms': 6.38671875}
{'pid': 872, 'username': None, 'name': 'lsass.exe', 'vms': 9.1484375}
{'pid': 948, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'TextInputHost.exe', 'vms': 15.0703125}
{'pid': 980, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'sihost.exe', 'vms': 6.13671875}
{'pid': 1020, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'SDXHelper.exe', 'vms': 9.5}
{'pid': 1092, 'username': None, 'name': 'svchost.exe', 'vms': 12.5859375}
{'pid': 1160, 'username': None, 'name': 'svchost.exe', 'vms': 2.55078125}
{'pid': 1244, 'username': 'DESKTOP-1SJROOB\\admin', 'name': 'Code.exe', 'vms': 165.67578125}
{'pid': 1260, 'username': None, 'name': 'svchost.exe', 'vms': 1.71484375}
{'pid': 1280, 'username': None, 'name': 'svchost.exe', 'vms': 6.5546875}
{'pid': 1340, 'username': None, 'name': 'svchost.exe', 'vms': 2.12890625}
{'pid': 1384, 'username': None, 'name': 'svchost.exe', 'vms': 3.0859375}
{'pid': 1388, 'username': None, 'name': 'svchost.exe', 'vms': 1.875}
{'pid': 1404, 'username': None, 'name': 'svchost.exe', 'vms': 1.91796875}
{'pid': 1436, 'username': None, 'name': 'svchost.exe', 'vms': 2.5390625}
{'pid': 1476, 'username': None, 'name': 'svchost.exe', 'vms': 6.08203125}
{'pid': 1540, 'username': None, 'name': 'IntelCpHeciSvc.exe', 'vms': 1.4453125}
{'pid': 1572, 'username': None, 'name': 'svchost.exe', 'vms': 2.18359375}
{'pid': 1640, 'username': None, 'name': 'svchost.exe', 'vms': 2.671875}
{'pid': 1648, 'username': None, 'name': 'svchost.exe', 'vms': 1.83984375}
{'pid': 1672, 'username': None, 'name': 'svchost.exe', 'vms': 1.9921875}
{'pid': 1680, 'username': None, 'name': 'svchost.exe', 'vms': 2.20703125}
{'pid': 1764, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.39453125}
{'pid': 1820, 'username': None, 'name': 'svchost.exe', 'vms': 4.38671875}
{'pid': 1852, 'username': None, 'name': 'svchost.exe', 'vms': 16.26171875}
