--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05859375}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.22265625}
{'name': 'Registry', 'username': None, 'pid': 100, 'vms': 7.828125}
{'name': 'smss.exe', 'username': None, 'pid': 436, 'vms': 1.05078125}
{'name': 'svchost.exe', 'username': None, 'pid': 476, 'vms': 18.984375}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 572, 'vms': 1.421875}
{'name': 'Code.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 624, 'vms': 160.0234375}
{'name': 'csrss.exe', 'username': None, 'pid': 676, 'vms': 2.3203125}
{'name': 'wininit.exe', 'username': None, 'pid': 808, 'vms': 1.5703125}
{'name': 'services.exe', 'username': None, 'pid': 864, 'vms': 6.5703125}
{'name': 'lsass.exe', 'username': None, 'pid': 872, 'vms': 10.2890625}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 992, 'vms': 3.93359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1092, 'vms': 13.046875}
{'name': 'svchost.exe', 'username': None, 'pid': 1164, 'vms': 2.7890625}
{'name': 'svchost.exe', 'username': None, 'pid': 1236, 'vms': 2.27734375}
{'name': 'RuntimeBroker.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 1256, 'vms': 7.390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1356, 'vms': 2.2421875}
{'name': 'python.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 1372, 'vms': 16.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 1408, 'vms': 2.0234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1412, 'vms': 3.16015625}
{'name': 'svchost.exe', 'username': None, 'pid': 1424, 'vms': 1.96484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1520, 'vms': 2.57421875}
{'name': 'svchost.exe', 'username': None, 'pid': 1588, 'vms': 2.3359375}
{'name': 'OneDrive.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 1656, 'vms': 53.01171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1668, 'vms': 2.7265625}
{'name': 'svchost.exe', 'username': None, 'pid': 1708, 'vms': 2.3359375}
{'name': 'svchost.exe', 'username': None, 'pid': 1716, 'vms': 1.984375}
{'name': 'svchost.exe', 'username': None, 'pid': 1848, 'vms': 17.40625}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 1864, 'vms': 1.36328125}
{'name': 'svchost.exe', 'username': None, 'pid': 1936, 'vms': 7.328125}
{'name': 'igfxEM.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 1948, 'vms': 3.59765625}
{'name': 'svchost.exe', 'username': None, 'pid': 1984, 'vms': 3.203125}
{'name': 'svchost.exe', 'username': None, 'pid': 2072, 'vms': 3.359375}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2108, 'vms': 1.74609375}
{'name': 'msedge.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 2136, 'vms': 7.6640625}
{'name': 'svchost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 2140, 'vms': 5.69140625}
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 2224, 'vms': 1.4140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2232, 'vms': 1.984375}
{'name': 'svchost.exe', 'username': None, 'pid': 2284, 'vms': 7.53125}
{'name': 'svchost.exe', 'username': None, 'pid': 2320, 'vms': 3.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 2344, 'vms': 2.3515625}
{'name': 'TextInputHost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 2544, 'vms': 13.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2560, 'vms': 5.046875}
{'name': 'atiesrxx.exe', 'username': None, 'pid': 2600, 'vms': 1.68359375}
{'name': 'svchost.exe', 'username': None, 'pid': 2632, 'vms': 1.69921875}
{'name': 'svchost.exe', 'username': None, 'pid': 2724, 'vms': 1.3125}
{'name': 'svchost.exe', 'username': None, 'pid': 2732, 'vms': 2.8203125}
{'name': 'svchost.exe', 'username': None, 'pid': 2788, 'vms': 2.12109375}
{'name': 'svchost.exe', 'username': None, 'pid': 2796, 'vms': 3.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 2804, 'vms': 2.49609375}
{'name': 'RtkNGUI64.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 2844, 'vms': 4.5234375}
{'name': 'svchost.exe', 'username': None, 'pid': 2928, 'vms': 4.1171875}
{'name': 'ShellExperienceHost.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 2936, 'vms': 31.7421875}
{'name': 'SynTPEnh.exe', 'username': 'VAIBHAVPATIL\\admin', 'pid': 2960, 'vms': 6.0859375}
